French,English
partie,part
histoire,history
chercher,search
pensais,thought
aide,help
genre,kind
frère,brother
laisser,let
mettre,to put
laisse,leash
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
parle,speak
compris,understood
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
yeux,eyes
façon,way
écoute,listen
trouve,find
main,hand
première,first
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
